ID,method,prop_POC,C_N_MAOC,C_N_POC,yield_N,yield_C,Clay,pH,TOC,TOC_mesured,TIC,num_ID,c_poc,c_maoc
BS A,M2,16.8493152437073,10.8631,19.8663,93.3861561182799,94.0034089764534,4.0,6.25,15.5,10.49,0.0,14,1.7674931690648958,8.722506830935105
6019,M2,37.5990272544071,9.6177,11.479,96.1114998239208,96.8463113247166,39.1,5.86,136.96,0.0,0.0,6,0.0,0.0
3820,M2,18.6531022521607,10.0152,13.5162,97.8683486121539,105.313363875921,53.9,7.52,28.94,27.1,29.27,4,5.05499071033555,22.045009289664453
3596,M2,20.3985989027122,9.6937,13.6966,89.5919205996508,97.9804651376797,60.0,7.57,22.98,21.59,13.35,3,4.404057503095564,17.18594249690444
1005,M2,13.3637197822797,9.253,13.3999,95.974805895081,95.8047529494954,10.8,6.52,9.05,9.74,0.0,2,1.301626306794043,8.438373693205957
786,M2,23.475803778846,21.0013,21.8159,96.308209973864,99.3220719664907,3.6,6.02,35.61,33.07,0.0,1,7.763448309664372,25.306551690335628
347,M2,48.4244235112938,16.9665,16.5796,96.4537275589908,98.6520584239985,4.4,6.08,76.0,0.0,0.0,0,0.0,0.0
TT-06,M2,12.4970777811174,8.7899,11.9474,98.6558590908024,96.6773689023609,28.1,8.6,15.9,15.57,171.6,66,1.945795010519979,13.624204989480022
REMENDIA,M2,21.7062042650285,9.1763,17.5496,101.235931022848,103.700484642974,39.1,5.8,36.6,25.55,0.0,63,5.545935189714782,20.004064810285218
ENERIZ C4,M2,13.5328908444642,8.2288,12.4684,89.4546198070421,89.779968652271,29.8,8.6,12.1,55.5,399.3,50,7.510754418677631,47.989245581322365
ENERIZ C3,M2,23.9750498814565,7.8849,12.6173,95.1496479677993,90.1881431293124,29.8,8.6,14.0,57.98,399.3,49,13.900733921268479,44.07926607873152
CS-16-058-A2,M2,15.1882260307444,8.516,11.3811,86.3336013296552,91.6988452926128,30.2,7.9,12.4,72.15,479.0,46,10.958305081182086,61.19169491881792
170-3-0-15,M2,29.0594941966496,8.8053,16.4144,96.7441952768406,100.514594276693,29.4,7.4,34.3,34.27,0.0,13,9.958688661191818,24.311311338808185
156-2-0-15,M2,15.7249829365762,8.4267,12.8596,102.362908098973,106.667122619618,37.8,8.1,27.0,26.27,536.5,12,4.130953017438568,22.139046982561435
154-2-15-30,M2,17.3041674523851,7.348,15.0194,100.621774354105,102.051616603064,35.7,8.6,11.0,22.88,706.2,11,3.959193513105711,18.92080648689429
154-1-0-15,M2,26.9591578629992,8.7236,15.4368,100.248405351851,106.915146550237,33.1,8.2,20.0,16.39,619.0,9,4.418605973745569,11.97139402625443
15-KOE-1-18,M2,9.59610697355103,15.477,19.0519,100.741731223796,106.6658669036,4.4,6.6,15.5,16.39,0.0,8,1.5728019329650138,14.817198067034987
13-KOE-1-18,M2,21.8083315596777,14.0865,21.6139,99.8126473935644,101.641868996245,68.1,7.4,29.3,32.39,0.0,7,7.063718592179607,25.326281407820396
M22/02 88,M2,29.0822791410299,12.1324691980993,12.3547177460221,96.5246808510639,93.6215803722504,6.3,6.6,57.4,59.1,0.0,57,17.18762697234867,41.912373027651334
M22/02 82,M2,25.8024688810467,11.7573351399281,12.8536226914221,103.1948,97.6848535433071,5.5,6.6,63.6,63.5,0.0,56,16.384567739464654,47.11543226053534
M22/03 12,M2,29.589469904458,11.0765345105697,12.6496079354964,95.2795797101449,95.0972037735849,14.7,6.5,76.1,79.5,0.0,58,23.52362857404411,55.97637142595589
M20/18 03,M2,30.0303639810131,12.4864782613258,15.174836108292,94.4375774647888,94.0714255319149,8.5,5.3,87.4,94.0,0.0,55,28.22854214215231,65.7714578578477
M20/04 77,M2,16.32926997551,8.39931904356573,11.8086065573771,91.6579824561404,89.4241844660194,30.0,6.1,50.2,51.5,0.0,54,8.409574037387651,43.09042596261235
P114,M2,15.0813214091147,10.4912970241437,19.4860180818791,95.369625,96.6666404494382,43.2,7.0,3.5,3.56,0.0,60,0.5368950421644834,3.0231049578355162
P014,M2,12.1970115383174,10.951540215259,16.8648227502922,98.2425,96.1118574821853,17.0,6.7,1.9,2.105,0.0,59,0.25674709288158126,1.8482529071184188
SP 05,M3,29.8308042101836,9.7648,22.8844,96.5598219284268,92.1122742963327,34.47,6.46,62.38,43.48,0.09,65,12.97043367058783,30.509566329412166
PS 04,M3,43.3029292552152,20.7272,41.1329,94.5064878262138,84.4648954743446,8.6,5.27,20.78,28.02,0.0,61,12.133480777311297,15.886519222688703
EPC 39a,M3,22.7082998374534,9.4776,21.3531,95.6348521448849,90.7349008236886,38.69,5.99,31.72,45.6,0.0,51,10.35498472587875,35.24501527412125
CL-14-2015,M3,21.0403139489995,8.4673,29.0452,94.0571488132463,90.6631354435107,33.0,6.8,13.01,13.01,0.0,44,2.737344844764835,10.272655155235165
CL-14-2002,M3,22.9541398483671,8.1943,26.7837,95.7038849754521,84.0363923256132,33.0,6.8,13.3,13.3,0.0,43,3.0529005998328245,10.247099400167176
CL-10-2015,M3,27.8253450004821,8.2184,33.2804,100.498104336733,86.8000064837246,33.0,6.8,14.14,14.14,0.0,42,3.934503783068169,10.20549621693183
CL-10-2002,M3,30.6722979564809,8.7237,40.885,97.5947520151538,112.735168464888,33.0,6.8,12.05,12.05,0.0,41,3.6960119037559487,8.353988096244052
CL-05-2002,M3,30.2210901795989,8.4853,36.1377,96.9698834493497,96.5052844750102,33.0,6.8,14.14,14.14,0.0,39,4.273262151395285,9.866737848604714
CHS 57b,M3,46.6315534893721,19.7459,23.9167,102.307840740979,100.716498288368,5.31,4.54,34.16,30.61,0.0,38,14.2739185230968,16.3360814769032
CHS 57A,M3,27.9869923699016,10.9896,18.3345,85.4656610388083,86.2076112448196,15.41,4.57,23.07,25.66,0.0,37,7.18146224211675,18.47853775788325
CHS 35,M3,29.3098672906006,19.5282,27.4128,95.0531334396816,91.7546015108132,17.56,4.37,39.87,47.11,0.0,36,13.807878480601943,33.30212151939805
CHP 18,M3,23.6219021840059,13.7745,27.7762,94.9865954309569,88.4538378152765,46.86,5.11,35.45,32.78,0.0,35,7.743259535917134,25.036740464082865
CHP 10,M3,27.607701050089,11.4521,22.7998,97.5036522494857,89.6875757637553,61.51,4.7,42.97,44.92,0.0,34,12.40137931169998,32.518620688300025
WF MI,M3,27.7945092358469,13.085,34.5925,94.6551540586426,94.6284038394751,43.2,7.3,32.8,50.18,19.6,68,13.947284734547974,36.23271526545203
